Week 8 high school football scores Posted: Fri 11:16 PM, Oct 16, 2015 
Ashland Blazer 32, Greenup Co. 6 
Beechwood 62, Ludlow 6 
Belfry 52, Sheldon Clark 6 
Bellevue 31, Dayton 0 
Bowling Green 48, Barren Co. 7 
Boyd Co. 38, East Carter 21 
Bracken Co. 64, Berea 28 
Butler Co. 62, McLean Co. 24 
Caldwell Co. 50, Fort Campbell 6 
Casey Co. 54, Jackson Co. 8 
Central Hardin 41, Meade Co. 21 
Christian Co. 41, Graves Co. 34 
Collins 42, North Oldham 24 
Cooper 43, Boone Co. 7 
Corbin 34, Bell Co. 20 
Crittenden Co. 50, Fulton Co. 6 
Danville 56, Middlesboro 0 
Dixie Heights 28, Grant Co. 20 
East Jessamine 58, Marion Co. 0 
East Ridge 50, Betsy Layne 28 
Edmonson Co. 28, LaRue Co. 21 
Elizabethtown 43, Adair Co. 15 
Estill Co. 50, Morgan Co. 16 
Fairview 24, Raceland 22 
Fleming Co. 21, Bath Co. 19 
Greenwood 54, Grayson Co. 14 
Harlan 62, Lynn Camp 28 
Harlan Co. 50, Whitley Co. 43 
Hazard 42, South Floyd 6 
Henderson Co. 28, Daviess Co. 14 
Holmes 41, Mason Co. 6 
Hopkinsville 37, Calloway Co. 0 
John Hardin 48, Lou. Valley 6 
Johnson Central 42, Rowan Co. 6 
Lawrence Co. 46, Pike Co. Central 6 
Lex. Christian 42, Somerset 34 
Lex. Henry Clay 14, Lex. Paul Dunbar 6 
Lex. Lafayette 45, Madison Central 28 
Lex. Tates Creek 43, George Rogers Clark 14 
Lexington Catholic 31, Boyle Co. 24 
Lou. Central 42, Bardstown 7 
Lou. Christian Academy 35, Lou. Shawnee 0 
Lou. DeSales 48, Washington Co. 0 
Lou. DuPont Manual 24, Lou. Pleasure Ridge Park 21, OT 
Lou. Eastern 28, Lou. Butler 26 
Lou. Fairdale 32, Lou. Doss 20 
Lou. Fern Creek 41, Lou. Iroquois 0 
Lou. Holy Cross 31, Frankfort 0 
Lou. Ky. Country Day 55, Eminence 6 
Lou. Male 27, Lou. St. Xavier 24 
Lou. Southern 34, Lou. Atherton 12 
Lou. Trinity 42, Lou. Seneca 0 
Lou. Waggener 68, Thomas Nelson 14 
Lou. Western 42, Breckinridge Co. 12 
Madison Southern 50, Woodford Co. 13 
Madisonville-North Hopkins 41, Logan Co. 0 
Marshall Co. 35, Trigg Co. 14 
Mayfield 49, Ballard Memorial 12 
Mercer Co. 42, Taylor Co. 12 
Monroe Co. 32, Glasgow 28 
Montgomery Co. 14, Anderson Co. 10 
Murray 49, Webster Co. 6 
Nelson Co. 18, Oldham Co. 7 
Newport Central Catholic 29, Lloyd Memorial 26 
North Bullitt 21, Bullitt East 15 
North Laurel 37, Perry Co. Central 14 
Ohio Co. 37, Muhlenberg County 25 
Owen Co. 30, Carroll Co. 18 
Owensboro 41, Apollo 7 
Owensboro Catholic 57, Todd Co. Central 0 
Paducah Tilghman 48, Union Co. 7 
Paris 34, Bishop Brossart 21 
Pikeville 53, Phelps 0 
Powell Co. 44, Knott Co. Central 14 
Prestonsburg 35, Allen Central 0 
Pulaski Co. 64, South Laurel 8 
Rockcastle Co. 41, Clay Co. 6 
Russell 74, Lewis Co. 6 
Russellville 70, Fulton City 24 
Ryle 46, Conner 34 
Scott 42, Bourbon Co. 35 
Scott Co. 40, Lex. Bryan Station 24 
Shelby Co. 42, Spencer Co. 28 
Shelby Valley 62, Leslie Co. 28 
Simon Kenton 51, Campbell Co. 15 
South Oldham 43, Bullitt Central 14 
South Warren 40, Allen Co.-Scottsville 7 
Southwestern 55, Lincoln Co. 28 
Walton-Verona 49, Trimble Co. 14 
Warren Central 23, Warren East 12 
Wayne Co. 51, Russell Co. 8 
West Carter 51, Pendleton Co. 7 
Williamsburg 50, Pineville 15
