word,cluster,x,y
tablet,6,2.3953552,0.17334989
democrats,5,1.4274055,-7.3695383
snp,2,-0.8872305,3.0084956
rubio,5,1.9547666,10.152103
seychelles,6,-8.978199,6.4507413
quote,6,1.35691,1.112275
khloe,3,10.224573,6.718687
voter,5,-1.713149,-10.155556
biden,5,1.5306463,8.143889
campaign,5,6.2611794,-2.8638356
turkey,4,3.524466,4.136071
republican,4,-0.96678776,5.997324
rushing,0,-2.2759507,-8.320683
virtual,6,0.42764473,-0.24164459
kasich,0,4.707286,-9.140144
samsung,6,0.5899983,2.11498
tourist,3,-7.4800677,1.2159947
solution,1,-2.2098427,-3.4566562
bombing,1,-5.3921757,-1.6461254
yield,2,1.9061748,8.408745
commodity,4,-8.825934,2.7815137
concert,4,-1.7143215,5.5184536
comedy,6,-7.7278237,10.547301
trading,4,-4.0206537,8.572846
bachelorette,5,-1.8039205,-10.325908
caucus,0,-12.686633,1.6653264
odom,0,3.3921945,9.395049
refugee,1,3.6767864,-4.134891
republicans,6,13.057073,-5.710353
accommodation,6,-3.9642391,0.67250997
album,1,4.7205815,-4.9437213
bernie,3,-7.2351756,-0.3037444
film,5,5.923037,-6.953731
lending,2,-4.5188575,5.8865857
quaid,6,2.0672839,2.8550615
soldier,2,6.226684,5.196933
luxury,6,5.84643,0.18089546
container,1,11.493895,-3.7143483
guest,3,-6.0234294,-3.9371443
asylum,5,-9.9482565,-4.7852597
bieber,5,-12.492632,-1.323222
israel,6,4.2499595,-1.4727789
ukraine,6,2.8323815,2.4874518
season,1,8.635585,-4.493637
fourth,0,12.093964,3.4807477
index,2,-5.2313848,0.037116118
computing,5,5.8232965,-1.4419917
border,4,2.2999694,5.4517927
cosby,3,6.7819433,-4.2412567
game,6,5.787266,-0.60393363
asset,4,-3.6960404,3.7904847
democratic,2,4.2061834,6.902974
kansas,4,-0.85310465,6.4644995
hospitality,3,8.080017,-1.6071776
trader,5,2.619223,-9.1458435
playoff,3,9.552197,-3.5138822
