title,text,url,source,label
Ajax youngster out of coma over a year after suffering heart attack,"THE BROTHER OF former Ajax youngster Abdelhak Nouri has offered a positive update on the condition of the 21-year-old following his on-field collapse back in July 2017.

The midfielder, who was a product of the famed academy system in Amsterdam, suffered a heart attack during a friendly clash with Werder Bremen.

He has been left with severe and permanent brain damage, with doctors having to put him into an induced coma as they sought to stabilise his condition.

Nouri is now awake again, with his family encouraged by the progress he is making through a “very difficult” time.

Abderrahim Nouri told NOS: “His neurological situation is better than a few months ago.

“Physically it’s very difficult, though. His physical condition is in decline because he doesn’t move. He’s lying in bed most of the time and he can’t move his body on his own. Only his head.

“Sometimes we get him out of bed to let him sit in his wheelchair. Earlier, that was really hard. At the beginning that was going really well, but later it became more difficult, with lots of ups and downs.

His immune system is weakened and it fluctuates a lot. I don’t want to go into details, but he has had a hard time. That’s normal for someone who has had brain damage. Those were very tough times.”

Abderrahim also reported that his brother is displaying greater awareness of those around him, allowing basic communication to be carried out.

Be part

of the team Access exclusive podcasts, interviews and analysis with a monthly or annual membership. ",https://www.the42.ie/abdelhak-nouri-ajax-coma-positive-update-4192948-Aug2018/,the_journal,1
Watch: Worcester lock Fatialofa in 'miracle' recovery from spine injury,"WORCESTER WARRIORS LOCK Michael Fatialofa is back walking unaided just weeks after he suffered a serious spine injury in what his wife described on Saturday as a “miracle”.

The 27-year-old New Zealander underwent spinal surgery in late January after being left paralysed from the neck down following his side’s Premiership rugby union match with Saracens early that month.

The operation took place after he was diagnosed with a spinal contusion, a serious condition which causes compression on the spine.

“You’re witnessing a miracle that even medical professionals can’t explain,” wrote Fatialofa’s wife Tatiana with a video of him walking on Instagram.

“They are so shook by his progress given his critical level of injury.

“He was literally paralysed from the neck down just 10 weeks ago and currently spinal cord injuries do not have a clinical cure.”

However, the coronavirus outbreak will place restrictions on her being able to visit him as the British government has recommended social distancing and ordered pubs, restaurants and other places where the public congregate to close.

“We’ve been advised by the hospital that visiting probably will be reduced to only one hour soon and while I understand completely it’s still so hard on the heart,” she said.

Fatialofa — who was a pivotal member of the Hurricanes side that won the 2016 Super Rugby title — has been affected in another way by the coronavirus as Worcester’s home game against Harlequins on April 11 was due to act as a fundraiser, but it will not go ahead with the Premiership currently suspended until April 14.

Be part

of the team Access exclusive podcasts, interviews and analysis with a monthly or annual membership. ",https://www.the42.ie/fatialofa-injury-5053690-Mar2020/,the_journal,1
O'Mahony pleased by Kidney and Kiss to London Irish reports,"MUNSTER AND IRELAND back row Peter O’Mahony has welcomed reports that Declan Kidney is set for a return to rugby as London Irish coach with Les Kiss by his side.

The Telegraph reports that the duo, who helped Ireland to the Grand Slam in 2009, will reunite at the Exiles from next season.

Having worked under both, O’Mahony is well versed to share his opinion on the move, one which he feels is a positive one.

“Deccy gave me my first couple of caps and I know he’s been eager to get back into rugby,” the Munster skipper said.

“He’s been in college in UCC, he’s been looking after the players down there. But I met him a few weeks ago and I know he’s been eager to get back in, and it’s good to see him and Les get back stuck in.

Peter O'Mahony. Source: Billy Stickland/INPHO

“I have a huge amount of respect for the pair of them and it’s good to see them getting back in. Not that Les has been out for long but I knew he was going to get picked up quick, he’s an incredible coach.”

Two-time Heineken Cup winning coach Kidney left the Ireland job in 2013 and has not worked in rugby since, while Kiss departed his role as Ulster head coach last month.
",https://www.the42.ie/pom-les-kiss-declan-kidney-london-irish-reports-3894003-Mar2018/,the_journal,1
Ex-Ireland and Liverpool defender Lawrenson gets the all-clear after cancer scare,"MARK LAWRENSON HAS revealed good news after a scare with cancer.

61-year-old Lawrenson. Source: Dave Howarth

The 61-year-old, who won five league titles, a European Cup and the FA Cup with Liverpool during the 1980s, underwent two operations and had a “cancerous blemish” removed from his face.

After a nervy wait, however, the former Ireland defender posted on Twitter last night to confirm that it hasn’t spread.

Lawrenson in action for Ireland against Denmark's Michael Laudrup in 1985. Source: EMPICS Sport

Lawrenson tweeted: “After three months of outstanding care at both Ormskirk & Whiston Hospitals, I got the news that after two operations and the removal of my facial cancerous blemish the cancer hasn’t spread anywhere. Phew!!

Waiting for the verdict felt like a ‘Sword of Damocles’ moment. Thanks all.”

In his column with the BBC, he revealed that it was a Football Focus viewer that first alerted him to the potential danger.

“Towards the end of last season, the editor of Football Focus received an email from a viewer saying they had seen me on TV and noticed I had a bit of dark skin on the left side of my face,” he wrote.

Be part

of the team Access exclusive podcasts, interviews and analysis with a monthly or annual membership. ",https://www.the42.ie/mark-lawrenson-cancer-scare-football-pundit-ireland-liverpool-4224339-Sep2018/,the_journal,1
Scotland player who contracted coronavirus is released from hospital,"THE SCOTLAND WOMEN player who recently contracted the Covid-19 coronavirus has been released from hospital.

Scottish Rugby confirmed the news today, stating that the player “is feeling back to normal.”

Similarly, the seven Scotland Women players and staff who self-isolated as a result of their team-mate’s positive test have been “cleared to resume daily life.”

A poster with information on the coronavirus at Murrayfield. Source: Ian Rutherford

On 6 March, the planned Women’s Six Nations match between Scotland and France the following day was postponed after the Scottish player had tested positive for the coronavirus and been admitted to a health care facility.

The seven other members of the Scotland team’s management and playing squad had to self-isolate on medical advice.

Be part

of the team Access exclusive podcasts, interviews and analysis with a monthly or annual membership. ",https://www.the42.ie/scotland-player-coronavirus-5048007-Mar2020/,the_journal,1
O'Neills factory starts manufacturing protective gear for healthcare workers,"Source: Lorcan Doherty

THE ‘CHOICE OF Champions’ slogan that was surely dreamed up by someone in O’Neills marketing team has taken on an added layer of meaning today as the sportswear company has begun manufacturing scrubs for healthcare workers.

The Co Tyrone based company temporarily laid off hundreds of staff in recent weeks, as the Covid-19 pandemic eliminated its order book.

But its Strabane factory was back in action today with 150 staff working to manufacture scrubs and masks for health and social care trusts in Northern Ireland.

The fabric used to make the protective clothing was dyed maroon and coated with anti-viral properties at O’Neills factory in Walkinstown, Dublin.

Source: Lorcan Doherty

The first shipment of safety garments is destined for healthcare workers on the frontline of fighting the coronavirus at the Covid-19 centre of Derry’s Altnagelvin Hospital.

The company said it is unable to comment on the volume of scrubs it is manufacturing at this stage because it is changing daily.

While it is currently just fulfilling orders from trusts in Northern Ireland, the company has also had enquiries from the Republic of Ireland and Britain.",https://www.thejournal.ie/oneills-scrubs-masks-healthcare-staff-5057866-Mar2020/,the_journal,1
Minister for Finance says corporation tax take is actually €1 billion higher than expected,"MINISTER FOR FINANCE Paschal Donohoe has said that the corporation tax take for the year will be €1 billion more than was originally expected.

The government’s projections of €8 billion have been exceeded due to changes in international accounting regulations, which means that multinational companies will be footing a much larger bill in Ireland this year, RTÉ reported.

This increased tax-take is unlikely to reoccur in future years, with €700 million of it deemed a once-off, and set to plug a shortfall in health spending in Budget 2019.

The Budget had been expected to run a deficit, but this will mean the government will balance the books heading into next year.

Addressing the Oireachtas Finance Committee late last month, Donohoe said that the government is “closing in on a balanced headline budgetary position”.

“The focus of Budget 2019 will be to sustain our recent progress and to maintain our careful management of the public finances,” he added.

#Open journalism No news is bad news Support The Journal Your contributions will help us continue to deliver the stories that are important to you Support us now

Speaking today, Donohoe also said he would press ahead with the allocation of €500 million to establish the Rainy Day Fund.

He added he expected savings of €170 million from other departments, as well as extra spend of €200 million in PRSI payments this year.",https://www.thejournal.ie/corporation-tax-more-4271397-Oct2018/,the_journal,1
Leinster and Munster return zero positives in latest round of Covid-19 testing,"LEINSTER AND MUNSTER have been cleared for a graduated return to contact training after returning zero positive results in the IRFU’s latest round of PCR testing for Covid-19.

Munster and Leinster meet at the Aviva Stadium on 22 August. Source: Laszlo Geczo/INPHO

153 players and staff were tested in the two provinces this week and the IRFU has happily reported that, for the second time, no one has tested positive.

Ulster and Connacht came through their own second round of PCR testing last week without any positive results.

The IRFU says that “to date there have been 560 tests conducted across the professional player and staff group” in the four provinces, with zero positives.

It means that all four provinces have been cleared to make their graduated return to contact training as they continue to build towards the scheduled Pro14 inter-provincial clashes at the Aviva Stadium next month.

Be part

of the team Access exclusive podcasts, interviews and analysis with a monthly or annual membership. ",https://www.the42.ie/munster-leinster-testing-irfu-5163592-Jul2020/,the_journal,1
Connacht GAA expect €3 million Air Dome to be completed in September,"CONNACHT GAA CHIEFS are confident work on their €3 million Air Dome project at the province’s centre of excellence in Mayo will be completed in early September.

Construction on the Air Dome in Bekan commenced last October but was halted in March due to the Covid-19 pandemic.

Work on the facility, which will be the largest indoor sports facility of its kind in the world, recommenced last week after the country moved into phase 1 of the restrictions being eased.

“They’re back since Monday, it’s brilliant to be back on track,” Connacht secretary John Prenty told The42.

“We were almost ready to lay the pitch (before the lockdown). I’d say if we got maybe three weeks more without a shutdown we would have that the pitch laid and we’d be ready to be putting the actual dome together.

🚧 🏗

Terrific to have Prunty’s back onsite today working on the Air Dome at the Connacht GAA Centre in Bekan as the country moved into Phase 1 of the reopening plan. It has been a tough few weeks for everyone but today marks a positive step back towards normality! #connachtgaa pic.twitter.com/GCNNJLWf5a — Connacht GAA (@ConnachtGAA) May 18, 2020

“But that didn’t happen so now we’re about three weeks behind schedule. Hopefully by the middle of next week we’ll be ready to lay the carpet on the pitch. All the other work will have been done.”

The dome will be 150m x 100m and 26m high with a full size pitch, gym, testing area and office space inside. It will complement the provincial body’s existing facilities in Bekan.

Prenty is optimistic the pitches will be completed by next month with the entire project set to be finished in September.

“The timeline at the minute is looking like, the middle of June the pitches will be done,” he said.

Be part

of the team Access exclusive podcasts, interviews and analysis with a monthly or annual membership. ",https://www.the42.ie/connacht-gaa-air-dome-2-5108787-May2020/,the_journal,1
Beirne extends Munster contract as 20-year-old Casey advances onto senior deal,"TADHG BEIRNE HAS extended his contract with Munster through until June 2022.

Beirne joined Munster last summer. Source: Gary Carr/INPHO

The 27-year-old Ireland international second row joined the province last summer on an initial two-year deal but has settled in superbly and has already opted to pen new terms, adding a further two years to his contract.

Beirne, who spent two seasons in Wales with the Scarlets after leaving his native Leinster, has quickly become a key player for Johann van Graan’s side, providing a world-class turnover threat and impressive skill set, as well as growing into the lineout calling role.

Meanwhile, exciting 20-year-old scrum-half Craig Casey, who was recently named academy player of the year, has signed his first professional contract with Munster.

Casey, who helped the Ireland U20s to a Grand Slam earlier this year, will move onto a development contract next season before advancing onto a full senior deal in 2020/21.

Casey made his Munster debut against Connacht recently. Source: James Crombie/INPHO

The Shannon RFC man recently made his debut off the bench in the Pro14 clash with Connacht at Thomond Park.

Be part

of the team Access exclusive podcasts, interviews and analysis with a monthly or annual membership. ",https://www.the42.ie/munster-tadhg-beirne-craig-casey-4627251-May2019/,the_journal,1
